Job Position;Company;Location;Salary;Job Type;Days_Since_Posted;Link;Description
Contract & Data Analyst;PT Mineral Alam Abadi (Mineral Alam Abadi Group).;Jakarta Barat, Jakarta Raya;N/A;Kontrak/Temporer;5;https://www.jobstreet.co.id/id/job/84804038?type=standard&ref=search-standalone&origin=jobCard#sol=9731bd8336b7ad7880846ab899ca96a7bb9110e0;"Job Description:
Collaborating with internal users to deliver well-defined scopes of work and commercial aspects, incorporating lessons learned from previous projects.
Supporting and coordinating with other internal functions to ensure seamless contract processes.
Maintaining a structured and organized system of both physical and digital contract records.
Negotiating contract terms with internal and external business stakeholders.
Developing and setting up tender schedules based on lead times stated in the contract requisition.
Preparing, reviewing, and finalizing contractual agreements with a high level of accuracy.
Ensuring compliance, discipline, and accuracy in record keeping and contract documentation.
Leading regular contract performance reviews with major contractors to resolve issues, improve overall performance, and streamline the invoice and payment processes.
Job Requirement:
Bachelor’s degree in a relevant field with a minimum of 1 year experience in contract administration or a related role.
Strong attention to detail with the ability to spot errors and inconsistencies.
General understanding of legal and regulatory requirements involved in contracts.
Ability to work independently and manage multiple projects simultaneously.
High integrity, hardworking, open-minded, innovative, agile, and honest.
Strong planning and organizational skills with the ability to set and achieve realistic goals.
Effective teamwork, with demonstrable ability to lead and coordinate with cross-functional teams.
Fast response time and strong prioritization skills.
Strong written and verbal communication skills, including proficiency in Microsoft Office (Word, Excel, PowerPoint).
Excellent analytical, problem-solving, and documentation skills."
Customer Service Data Analyst;PT Coway International Indonesia;Jakarta Selatan, Jakarta Raya;Rp 6.000.000 – Rp 8.500.000 per month;Full time;12;https://www.jobstreet.co.id/id/job/84995153?type=standard&ref=search-standalone&origin=jobCard#sol=da417b988c2011ae82fe537f57cc33e07df1a58a;"Job Description:
Support Team Leader in developing SOP and operational customer service department, of which includes:
- Guidelines for each task in Customer Service Division
- Monitoring SOP implementation in Customer Service Division
- Review SOP actualization for improvement
- Review warranty card to ensure and maintain service quality
Support Team Leader in evaluate After Service, Product Return, and Product exchange implementation.
Support Team Leader in preparing time plan and improve ability of each branch by paying attention to every planning.
HQ & Branch Operation monitoring and support.
Handling Monthly Report.
Adhoc Analysis or Reporting Requested by Team Leader.
Job Requirements:
Minimum Bachelor Degree. 
Minimum 1-3  years of experience in the field of electrical or home appliances.
Strong data analysis skills.
Solid understanding of customer service, end-to-end operational processes, and analytical methodologies.
Excellent interpersonal and communication skills, with a positive attitude.
Proficiency in English is preferred.
Capable of working both independently and collaboratively in a team.
Ability to manage multiple tasks simultaneously, with strong organizational and time-management skills.
Proficient in using Microsoft PowerPoint, Word, and Excel for effective work output."
D3 for Data Analyst - Production Staff (CODE : PROD DA);PT Panasonic Gobel Energy Indonesia (PECGI);Cibitung, Jawa Barat;N/A;Full time;4;https://www.jobstreet.co.id/id/job/85166251?type=standard&ref=search-standalone&origin=jobCard#sol=cd66ac177e6d0cdac2fbb39ecb5f019f5b5b9ae7;"About the role
We are seeking a talented Data Analyst to join our dynamic Production team at PT Panasonic Gobel Energy Indonesia (PECGI) in Cibitung District, Bekasi, West Java. As a fulltime employee, you will play a crucial role in driving data-driven decision making and optimising our production processes.
What you'll be doing
Collect, analyse and interpret data from various production systems to identify trends, patterns and opportunities for improvement
Develop and maintain reporting dashboards to provide real-time visibility into production performance
Collaborate with cross-functional teams to implement data-driven solutions that enhance efficiency and productivity
Assist in the design and development of database structures to support the organisation's data management needs
Provide data-driven recommendations to management to drive strategic decision making
Stay up-to-date with the latest data analysis tools and techniques to continuously improve processes
What we're looking for
D3 qualification in a relevant field such as Information Technology, Computer Science or Data Analytics
Proficient in data analysis tools and techniques, including SQL, Excel, and data visualisation software
Strong problem-solving and critical thinking skills with the ability to interpret data and draw meaningful insights
Excellent communication and presentation skills to effectively convey data-driven insights to stakeholders
Familiarity with production processes and an understanding of manufacturing operations
Attention to detail and a keen interest in continuous improvement
What we offer
At PT Panasonic Gobel Energy Indonesia (PECGI), we are committed to providing a rewarding and fulfilling work environment. You will have the opportunity to contribute to the growth and success of our organisation, while benefiting from:
- Competitive remuneration package
- Comprehensive health and welfare benefits
- Opportunities for professional development and career advancement
- Collaborative and supportive team environment
If you are ready to embark on an exciting data-driven journey with us, we encourage you to apply now."
ADMIN DATA ANALYST;PT Atria Artha Persada;Medan, Sumatera Utara;Rp 3.500.000 – Rp 4.000.000 per month;Full time;4;https://www.jobstreet.co.id/id/job/85188393?type=standard&ref=search-standalone&origin=jobCard#sol=c7505582dfc74966cc07160ad308af9de1fe221c;"Tugas & Tanggung Jawab :
1.     Melakukan Analisa Data Penjualan (Harian & Bulanan)
2.     Melakukan koordinasi dengan departmen terkait analisis data
3.     Membuat Report rekapan Program yang di jalankan
Kualifikasi :
·        Usia maksimal 35 tahun
·        Pendidikan S1 Ilmu Komputer,/Teknologi informasi /sederajat
·        Memiliki pengalaman selama minimal 2 tahun di bidang yang sama.
·        Pernah bekerja diperusahaan FMCG/distributor menjadi nilai plus
·        Terbiasanya dengan pengolahan data yang banyak
·        Mampu Berkomunikasi dengan baik
·        Mampu mengunakan Query / SQL dalam pengolahan data menjadi nilai plus
·        Menguasai Ms. Excel (Hlookup, Vlookup, Pivot Table dll)
·        Terbiasa membangun data pipeline,Database, & Struktur data
·        Menguasai Aplikasi SAP menjadi nilai tambahaan
·        Keterampilan pemecahaan masalah yang kuat dengan penekanan pada pengembangan produk.
·        Jujur ,Teliti, dan Bertanggung Jawab"
Data Analyst;PT YUXI Jayatama Indonesia;Jakarta Utara, Jakarta Raya;Rp 10.000.000 – Rp 14.000.000 per month;Full time;5;https://www.jobstreet.co.id/id/job/85139885?type=standard&ref=search-standalone&origin=jobCard#sol=5cbbd9d4d939fcbcbe14f44109c6feb4af3f73d6;"About us :
YUXI   JAYATAMA  is  an  Multi-Channel  Network (MCN) company  under  the Sands Group Indonesia with 9 business units such as Oppo, J&T Express, J&T Cargo, Y.O.U, Makuku, Olike, Jet Commerce, Fullmoon, Tomoro Cafe.
We provides services for brands in marketing planning, promotion, Brand Awareness, Campaign and assisting in finding the right creators for brands.
In  less  than  1  year,  Yuxi  have  achieved  several  significant milestones, such as number 1 MCN in Mom and Baby category on Tiktok, TOP 3 MCN in Tiktok, Shopee MCN Partner from October 2023 until now.
Data Analyst:
Job Responsibility: 
Collect, consolidate, and manage data from TikTok Affiliate, TAP, Shopee Affiliate, and other e-commerce platforms to uncover performance trends, identify growth opportunities, and generate insights that drive strategic actions.
Ensure data integrity, accuracy, and consistency across different sources.
Build and automate dashboards to monitor performance metrics such as CTR, conversion rate, GMV, commission, and ROI across each platform/channel, using Google Sheet or Feishu
Generate regular performance reports and provide relevant insights for all functions.
Analyze sales trends, content performance, and campaign effectiveness to deliver strategic recommendations.
Collaborate with creative, Business Development, and operations teams to identify analytics needs and growth opportunities.
Provide ad hoc analysis based on stakeholder requests (e.g., specific campaign performance, creator content analysis, etc.).
Job Requirements:
Fluency in English, both written and spoken, is required.
Bachelor’s degree in Statistics, Mathematics, Industrial Engineering, Computer Science, or a related field.
Minimum 1–2 years of experience as a Data Analyst or Business Analyst, preferably in digital, e-commerce, or MCN industries.
Experienced in using Google Sheets or Feishu (Chinese Google Sheet alternative); familiarity with other analytical tools such as SQL, Power BI, Tableau, or similar platforms is a strong advantage
Proficient in data visualization and reporting.
Familiarity with APIs, data pipelines, and platform integrations. Experience in navigating TikTok or Shopee Affiliate dashboards and extracting performance insights is a strong plus.
Strong business acumen and the ability to translate complex data into actionable insights."
Credit Analyst Staff;PT Bussan Auto Finance (BAF);Jakarta Raya;N/A;Full time;0;https://www.jobstreet.co.id/id/job/85246817?type=standard&ref=search-standalone&origin=jobCard#sol=4a6303a7b80f7331e28c1a3653372c912f722e6a;"About the role
We are seeking a talented and analytical Credit Analyst Staff to join our dynamic team at PT Bussan Auto Finance. As a Credit Analyst Staff, you will play a crucial role in our financial services operations, contributing to our analysis and reporting processes.
This full-time position will involve thorough credit assessments, data analysis, and generating comprehensive reports to support the company's decision-making and strategic objectives.
What you'll be doing
Conducting thorough credit analyses and assessments to evaluate the creditworthiness of potential borrowers
Gathering, organising, and analysing financial data to identify trends and insights that inform lending decisions
Preparing detailed reports and presentations to communicate your findings and recommendations to key stakeholders
Collaborating with cross-functional teams to ensure a comprehensive understanding of credit risks and opportunities
Staying up-to-date with industry regulations, best practices, and market changes to enhance the company's credit analysis processes
Providing support and guidance to junior team members to foster their professional development
What we're looking for
Bachelor's degree in Finance, Economics, Accounting, or a related field
Minimum 1 years of experience in credit analysis or a similar role within the banking and financial services industry
Strong analytical and problem-solving skills, with the ability to interpret complex financial data and draw meaningful conclusions
Excellent communication and presentation skills, both written and verbal, to effectively convey your findings
Proficiency in using financial analysis software and tools, such as Excel, for reporting
Keen attention to detail and the ability to work in a fast-paced, deadline-driven environment
Collaborative mindset and a willingness to contribute to cross-functional projects
willing to work shifting hours 
What we offer
Comprehensive health and wellness benefits, including medical insurance and wellness programs
Opportunities for professional development and career advancement
Supportive and inclusive company culture that values work-life balance
Networking and social events to foster connection and collaboration among employees
About us
PT Bussan Auto Finance is a leading provider of financial services in Indonesia, specialising in vehicle financing solutions YAMAHA brands. With a strong commitment to innovation and customer satisfaction, we have established a reputation for delivering reliable and tailored financial products to our clients. As a dynamic and forward-thinking organisation, we are dedicated to empowering our employees and fostering an environment that encourages growth and collaboration.
If you are ready to join a team that values your skills and contributions, we encourage you to apply for this exciting opportunity. Click the ""Apply Now"" button to start your journey with PT Bussan Auto Finance."
Backend  Developer (Data Analyst);PT. Mitra Insan Sejahtera;Jakarta Selatan, Jakarta Raya;N/A;Full time;0;https://www.jobstreet.co.id/id/job/85245527?type=standard&ref=search-standalone&origin=jobCard#sol=92e63ec0fe6d638148a8660035e2e625e73001b5;"Tanggung Jawab Utama
Merancang, mengembangkan, dan memelihara sistem backend yang handal dan skala-tinggi.
Menganalisis data bisnis dan mengembangkan solusi data analitik untuk mendukung pengambilan keputusan.
Mengoptimalkan kinerja dan keamanan sistem untuk memastikan pengalaman pengguna yang lancar.
Berkolaborasi dengan tim UI/UX, Produk, dan Manajemen untuk memahami kebutuhan pengguna dan menerjemahkannya menjadi solusi teknis.
Menerapkan praktik pengembangan perangkat lunak terbaik, seperti pengujian unit dan integrasi, pengelolaan kode, dan kontrol versi.
Mengidentifikasi dan menyelesaikan masalah kompleks, dengan fokus pada inovasi dan efisiensi.
Kualifikasi yang Dibutuhkan
Minimal lulusan S1, Teknik Informatika/Teknologi Informasi/Sistem Informasi/Ilmu komputer
Diutamakan memiliki pengalamam minimal 2 tahun dalam pengembangan backend atau data analitik.
Menguasai bahasa program (Python, PyCharm, SQL, HTML, DBMS, Golang, Django,React-JS)
Pengetahuan yang kuat tentang arsitektur sistem, database, dan layanan cloud.
Pengalaman dalam menganalisis data, membuat model prediktif, dan menyajikan wawasan.
Kemampuan untuk bekerja secara mandiri dan dalam tim.
Kemahiran dalam menggunakan alat analisis data, seperti SQL, Pandas, atau Tableau."
Staff Unit Manajemen Database Operasional;PT Bank Woori Saudara Indonesia 1906, Tbk;Jakarta Selatan, Jakarta Raya;Rp 6,000,000 – Rp 9,000,000 per month;Full time;0;https://www.jobstreet.co.id/id/job/85257421?type=standard&ref=search-standalone&origin=jobCard#sol=f10cc062312820d599ec09086a12c9ecb500e8ff;"Kesempatan
PT Bank Woori Saudara Indonesia 1906, Tbk' membutuhkan seorang 
Staff Unit Manajemen Database Operasional
 yang berpengalaman untuk bergabung dengan tim kami di Jakarta Selatan. Dalam peran ini, Anda akan memainkan peran penting dalam memastikan integritas dan ketersediaan data kritikal yang mendukung operasional perbankan kami.
Tanggung Jawab
Memantau dan mengelola database operasional, memastikan ketersediaan data yang akurat dan terkini.
Mengidentifikasi, menganalisis, dan mengatasi masalah terkait database, termasuk pemulihan data, backup, dan optimalisasi kinerja.
Mengembangkan dan mengimplementasikan prosedur dan kebijakan database untuk memastikan keamanan, integritas, dan kepatuhan.
Berkoordinasi dengan tim TI dan pemangku kepentingan lainnya untuk mengidentifikasi dan memenuhi persyaratan data bisnis.
Membuat laporan dan analisis terkait pengelolaan database untuk mendukung pengambilan keputusan manajemen.
Memberikan pelatihan dan dukungan teknis kepada pengguna database.
Kualifikasi
Gelar sarjana di bidang Teknologi Informasi, Sistem Informasi, atau disiplin ilmu terkait.
Minimal 3 tahun pengalaman dalam pengelolaan dan administrasi database, lebih disukai di industri perbankan.
Pemahaman yang baik tentang konsep database, termasuk desain, optimalisasi, dan pemecahan masalah.
Pengalaman dalam menggunakan bahasa pemrograman SQL dan alat manajemen database.
Kemampuan analitis dan pemecahan masalah yang kuat.
Proaktif, berorientasi pada detail, dan bekerja dengan baik dalam tim.
Kualifikasi spesifik:
Menguasai RDBMS 2  
Diutamakan menguasai oracle db
Menguasai SQL statement
Diutamakan bisa PL/SQL
Menguasai Tuning SQL.
Mengetahui proses ETL Tools (Informatica, etc)
Manfaat
Paket kompensasi yang kompetitif, termasuk gaji pokok, bonus, dan tunjangan menarik.
Asuransi kesehatan dan jaminan pensiun yang komprehensif.
Peluang pelatihan dan pengembangan karier untuk mendukung pertumbuhan profesional Anda.
Lingkungan kerja yang kolaboratif dan mendukung, dengan komitmen kuat terhadap keberagaman dan inklusi.
Tentang Kami
PT Bank Woori Saudara Indonesia 1906, Tbk' adalah bank swasta terkemuka di Indonesia yang menyediakan layanan perbankan menyeluruh bagi individu dan bisnis. Didirikan pada tahun 1906, kami telah menjadi bagian penting dari pertumbuhan ekonomi Indonesia selama lebih dari satu abad. Dengan fokus pada inovasi, kualitas layanan, dan nilai-nilai perusahaan yang kuat, kami berkomitmen untuk menjadi pilihan terbaik bagi nasabah dan mitra bisnis kami.
Lamar posisi ini sekarang dan bergabunglah dengan tim kami yang dinamis dan berorientasi pada pertumbuhan!"
Benefit Junior Analyst;Perumda Air Minum Jaya;Jakarta Pusat, Jakarta Raya;N/A;Kontrak/Temporer;7;https://www.jobstreet.co.id/id/job/85089638?type=standard&ref=search-standalone&origin=jobCard#sol=38dc7a2593ea870ef054ea692c51d4c51171c7ad;"KETENTUAN UMUM
Tidak pernah terlibat perbuatan kriminal
Sehat jasmani & rohani
Siap ditempatkan di DKI Jakarta
KETENTUAN KHUSUS
Pendidikan minimal D3
Memiliki pengalaman minimal 1 tahun mengelola administrasi pegawai
Menguasai Microsoft Office (Word, Excel, pivot table)
DESKRIPSI PEKERJAAN
Mengelola administrasi terkait program kesejahteraan pegawai, termasuk santunan duka, bantuan komunikasi, 
car ownership program
, dan bantuan kendaraan roda empat
Mengelola administrasi surat jaminan MCU pre-employment"
Reporting Analyst;Halodoc;Jakarta Raya;N/A;Full time;0;https://www.jobstreet.co.id/id/job/85258373?type=standard&ref=search-standalone&origin=jobCard#sol=f437667721315019f62ffa1f77973c173b7e00e5;"Job description: 
Translate and analyze data into clear, impactful PowerPoint slides with actionable insights for internal and external stakeholders. Apply insurance domain expertise to contextualize findings and enhance relevance of insights.
Create client report deck (BAU) and support ad-hoc requests for sales pitch deck, client proposal deck, and client data request such as data benchmarking.
Collaborate with Key Account Managers team to refine narratives and tailor decks for audiences.
Conduct quality reviews of client decks to ensure data accuracy, visual consistency, and strategic insight clarity.
Design and maintain PowerPoint templates for client decks, ensuring alignment with branding and best practices.
Develop and maintain clear documentation for repeatable reporting workflows and automation procedures.
Curate a library of pre-approved visuals, icons, and templates to accelerate deck creation.
 
Qualifications:
2-3 years in consulting or business analysis.
Exposure to or direct experience in the insurance or healthcare industry is highly preferred.
Strong analytical mindset with the ability to translate complex data into clear insights.
Excellent storytelling skills with the ability to distill data into visually compelling and strategically relevant presentations.
Advanced proficiency in PowerPoint—especially in slide design, narrative structuring, and template management.
Proficient in Excel for data analysis."
